date,year,action,ticker,company,index_name,reason
"September 23, 2024",2024,removed,DBI,Designer Brands,SP600SmallCap,TGNA was moved from the S&P 400 as it was more representative of the small cap market space. DBI was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,ZD,Ziff Davis,SP600SmallCap,ZD was moved from the S&P 400 as it was more representative of the small cap market space. FN was moved to the S&P 400 as it was more representative of the mid-cap market space.
"September 23, 2024",2024,removed,FN,Fabrinet,SP600SmallCap,ZD was moved from the S&P 400 as it was more representative of the small cap market space. FN was moved to the S&P 400 as it was more representative of the mid-cap market space.
"September 23, 2024",2024,added,MP,MP Materials,SP600SmallCap,MP was moved from the S&P 400 as it was more representative of the small cap market space. CVGW was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,CVGW,"Calavo Growers, Inc.",SP600SmallCap,MP was moved from the S&P 400 as it was more representative of the small cap market space. CVGW was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,PGNY,Progyny,SP600SmallCap,PGNY was moved from the S&P 400 as it was more representative of the small cap market space. EHAB was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,EHAB,Enhabit,SP600SmallCap,PGNY was moved from the S&P 400 as it was more representative of the small cap market space. EHAB was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,ADNT,Adient,SP600SmallCap,ADNT was moved from the S&P 400 as it was more representative of the small cap market space. MERC was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,MERC,Mercer International,SP600SmallCap,ADNT was moved from the S&P 400 as it was more representative of the small cap market space. MERC was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,WOLF,Wolfspeed,SP600SmallCap,WOLF was moved from the S&P 400 as it was more representative of the small cap market space. CMP was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,CMP,Compass Minerals,SP600SmallCap,WOLF was moved from the S&P 400 as it was more representative of the small cap market space. CMP was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,HELE,Helen of Troy Limited,SP600SmallCap,HELE was moved from the S&P 400 as it was more representative of the small cap market space. DDD was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,DDD,3D Systems Corporation,SP600SmallCap,HELE was moved from the S&P 400 as it was more representative of the small cap market space. DDD was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,ZWS,Zurn Elkay Water Solutions,SP600SmallCap,ZWS replaced CHCT as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,CHCT,Community Healthcare Trust,SP600SmallCap,ZWS replaced CHCT as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,YOU,Clear Secure,SP600SmallCap,YOU replaced VREX as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,VREX,Varex Imaging,SP600SmallCap,YOU replaced VREX as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,TGTX,TG Therapeutics,SP600SmallCap,TGTX replaced DIN as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,DIN,Dine Brands Global,SP600SmallCap,TGTX replaced DIN as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,INSP,Inspire Medical Systems,SP600SmallCap,INSP replaced NUS as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,NUS,Nu Skin Enterprises,SP600SmallCap,INSP replaced NUS as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,CSW,CSW Industrials,SP600SmallCap,CSW replaced AMCX as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,AMCX,AMC Networks,SP600SmallCap,CSW replaced AMCX as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,ADMA,ADMA Biologics,SP600SmallCap,ADMA replaced ZEUS as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,ZEUS,Olympic Steel,SP600SmallCap,ADMA replaced ZEUS as it was no longer representative of the small-cap market space.
