ticker,company,cik,index_name
AAMI,Acadian Asset Management Inc.,0001748824,SP600SmallCap
AAP,"Advance Auto Parts, Inc.",0001158449,SP600SmallCap
AAT,American Assets Trust,0001500217,SP600SmallCap
ABCB,Ameris Bancorp,0000351569,SP600SmallCap
ABG,Asbury Automotive Group,0001144980,SP600SmallCap
ABM,"ABM Industries, Inc.",0000771497,SP600SmallCap
ABR,Arbor Realty Trust,0001253986,SP600SmallCap
ACA,"Arcosa, Inc.",0001739445,SP600SmallCap
ACAD,Acadia Pharmaceuticals,0001070494,SP600SmallCap
ACHC,Acadia Healthcare,0001520697,SP600SmallCap
ACIW,ACI Worldwide,0000935036,SP600SmallCap
ACLS,"Axcelis Technologies, Inc.",0001113232,SP600SmallCap
ACMR,"ACM Research, Inc.",0001680062,SP600SmallCap
ACT,"Enact Holdings, Inc.",0001823529,SP600SmallCap
ADAM,"Adamas Trust, Inc.",0001273685,SP600SmallCap
ADEA,"Adeia, Inc.",0001803696,SP600SmallCap
ADMA,"ADMA Biologics, Inc.",0001368514,SP600SmallCap
ADNT,Adient,0001670541,SP600SmallCap
ADT,ADT Inc.,0001703056,SP600SmallCap
ADUS,Addus HomeCare Corp.,0001468328,SP600SmallCap
AEO,American Eagle Outfitters,0000919012,SP600SmallCap
AESI,"Atlas Energy Solutions, Inc.",0001984060,SP600SmallCap
AGO,Assured Guaranty Ltd.,0001273813,SP600SmallCap
AGX,"Argan, Inc.",0000100591,SP600SmallCap
AGYS,"Agilysys, Inc.",0000078749,SP600SmallCap
AHCO,AdaptHealth Corp.,0001725255,SP600SmallCap
AIN,Albany International Corp.,0000819793,SP600SmallCap
AIR,AAR CORP.,0000001750,SP600SmallCap
AKR,Acadia Realty Trust,0000899629,SP600SmallCap
ALG,Alamo Group,0000897077,SP600SmallCap
ALGT,Allegiant Travel Company,0001362468,SP600SmallCap
ALHC,"Alignment Healthcare, Inc.",0001832466,SP600SmallCap
ALKS,Alkermes plc,0001520262,SP600SmallCap
